('ABAYIO_clean.cif', '2.4224408625000016')
('ABAYOU_clean.cif', '2.4242108250000003')
('ABEFUL_clean.cif', '2.418522369743635')
('ABESUX_clean.cif', '2.4913068030696865')
('ABETAE_clean.cif', '2.5038756874551327')
('ABEXEM_clean.cif', '2.6116214304640057')
('ABEXEN_clean.cif', '2.368835889701328')
('ABEXIQ_clean.cif', '2.592353924443582')
('ABEXOW_clean.cif', '2.584615462282208')
('ABEXUC_clean.cif', '2.5785180790722433')
('ABEYAJ_clean.cif', '2.5707035014072686')
('ABEYEN_clean.cif', '2.5625514864134185')
('ABEYIR_clean.cif', '2.5622797396477637')
('ABIXOZ_clean.cif', '2.3647908218224387')
('ABULOB_clean.cif', '1.68497895550904')
('ac403674p_si_001_clean.cif', '2.4868859589560817')
('ACAKUM_clean.cif', '2.52337643035711')
('ACALIB_clean.cif', '2.304903806532743')
('ACECIV_ion_b.cif', '2.864416092612239')
('ACODON_clean.cif', '2.491999902182723')
('ACODUT_clean.cif', '2.2843733371943307')
('ACOGAB_clean.cif', '2.940218758719424')
('ACOGEF_clean.cif', '2.9415946046751604')
('ACOLEL_clean.cif', '2.251477312236623')
('acs.cgd.5b01554_VAGNUP1452791_clean.cif', '3.0996147144169997')
('acs.cgd.6b00163_UKEBOD1448508_clean.cif', '2.462704322466385')
('acs.cgd.6b00463_OLOMUZ1451936_clean.cif', '2.5123870774404984')
('acs.inorgchem.5b02108_ic5b02108_si_002_clean.cif', '2.0370508257669497')
('acs.inorgchem.5b02378_ic5b02378_si_002_clean.cif', '2.4785879639619264')
('acs.inorgchem.5b02973_ic5b02973_si_002_clean.cif', '2.113687073619308')
('acs.inorgchem.6b00081_ic6b00081_si_001_clean.cif', '2.875493334035465')
('acs.inorgchem.6b00276_ic6b00276_si_006_clean.cif', '2.11729008171119')
('acs.inorgchem.6b01569_ic6b01569_si_002_clean.cif', '2.172423022839256')
('acs.inorgchem.6b01740_ic6b01740_si_002_clean.cif', '2.15583984375')
('acs.inorgchem.6b01762_ic6b01762_si_002_clean.cif', '2.5510067516356307')
('acs.inorgchem.6b02407_ic6b02407_si_002_clean.cif', '2.0460748724585986')
('acs.inorgchem.6b02407_ic6b02407_si_003_clean.cif', '2.050096595552858')
('acs.inorgchem.6b02413_ic6b02413_si_002_clean.cif', '2.3619618984375004')
('acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean.cif', '2.3417382282691745')
('acscombsci.5b00188_34903_clean.cif', '1.9661040969844144')
('acscombsci.5b00188_5040209_clean.cif', '1.9904481932940847')
('acscombsci.5b00188_8372_clean.cif', '2.031476651154296')
('ACUBAB_clean.cif', '2.4272572653164')
('ACUJOZ_manual.cif', '1.9977792530862748')
('ACUTOI_clean.cif', '2.3925308327179002')
('ADARAA_clean.cif', '2.1927621095904613')
('ADEGIA_clean.cif', '2.534645887983897')
('ADEGIA01_clean.cif', '2.521096027487469')
('ADOBAX_charged.cif', '3.3531121472115037')
('ADOBEB_charged.cif', '3.3531121472115037')
('ADOBIF_clean.cif', '2.170265060931075')
('ADOBOL_charged.cif', '3.417306254672423')
('ADOBUR_charged.cif', '3.418439436340168')
('ADOCEC_clean.cif', '2.172033698516093')
('ADODII_clean.cif', '2.5019020918147015')
('ADODOO_clean.cif', '2.4859196698316945')
('ADODUU_clean.cif', '2.4789019472463103')
('ADUWON_clean.cif', '2.056496615046671')
('AFEDIA_clean.cif', '2.35433596529457')
('AFEJOK_ion_b.cif', '2.5663713842491775')
('AFIPAH_clean.cif', '2.7657418653137698')
('AFITUF_clean.cif', '2.6406959865517385')
('AFOTOF_clean.cif', '2.3607234848770884')
('AFOTUL_clean.cif', '2.3643750262253547')
('AFOVAT_clean.cif', '2.5066985401590456')
('AFOVEX_clean.cif', '2.5258968594157167')
('AFOVIB_clean.cif', '2.3528858726116133')
('AFOVOH_clean.cif', '2.5247493713468')
('AFUKET_clean.cif', '2.285909126914406')
('AFUKIX_clean.cif', '2.1926152662887715')
('AFUPEX_clean.cif', '2.38725423552434')
('AGABIU_clean.cif', '2.1448579802761296')
('AGARUW_clean.cif', '2.5924042844545885')
('AGAYIQ_clean.cif', '2.042665994057582')
('AGAYOW_clean.cif', '2.1254971347443115')
('AGIMOU_clean.cif', '2.592511806929033')
('AGOVOJ_clean.cif', '2.2548925706734453')
('AGUVOO_charged.cif', '2.523668117283034')
('AGUWUV_clean.cif', '2.180599667527195')
('AHEQAH_clean.cif', '2.1418526477908104')
('AHOJUC_clean.cif', '2.0513437791589064')
('AHUFIU_clean.cif', '2.5761549691408137')
('AHUTIH_clean.cif', '2.6330075403273674')
('AHUTIH01_clean.cif', '2.632291425398252')
('AJAYIT_clean.cif', '2.3758063555990487')
('AJIGIL_clean.cif', '2.4526716517245664')
('AJOTEY_clean.cif', '2.0878434268764234')
('AJOVEB_clean.cif', '2.3607599573460973')
('AJOXAA_clean.cif', '2.479425740892304')
('AJUNOK_clean.cif', '2.433500556299549')
('AKOHEO_clean.cif', '2.2746092320823683')
('AKOXIJ_clean.cif', '2.1688447889077245')
('AKUHOD_clean.cif', '2.631660267399814')
('AKUHOD01_clean.cif', '2.6185097094584133')
('AKUHOD03_clean.cif', '2.6151519509073515')
('AKUKUO_clean.cif', '2.1378206983703336')
('ALAHUS_clean.cif', '2.4548440637232467')
('ALALUU_clean.cif', '2.6495502492602276')
('ALALUU01_clean.cif', '2.6547893927579516')
('ALATAK_clean.cif', '2.6084297867132804')
('ALEJAE_clean.cif', '2.200742486492266')
('ALEQIT_clean.cif', '2.544230087970067')
('ALIBUT_clean.cif', '2.0941371751127926')
('ALICAA_clean.cif', '2.101706411226429')
('ALIPEQ_clean.cif', '2.3076924618365817')
('ALIXOJ_clean.cif', '2.0222472284313042')
('ALOLES_ion_b.cif', '2.8145878450852306')
('ALOLET_charged.cif', '2.636782329857653')
('ALOLIX_charged.cif', '3.258564050132781')
('ALOLIY_clean.cif', '2.212219177427978')
('ALOLOD_charged.cif', '2.331837466621366')
('ALONEV_clean.cif', '2.5764896432457842')
('ALUJEX_clean.cif', '2.5839654009933097')
('ALUJIB_clean.cif', '2.5800090317606093')
('ALUJOH_clean.cif', '2.5923445013962376')
('ALUJUN_clean.cif', '2.391835720242053')
('ALUKAU_clean.cif', '2.511389553552144')
('ALUKIC_clean.cif', '2.5221471909632465')
('ALUKOI_clean.cif', '2.5083908261859045')
('ALUKUO_clean.cif', '2.5065354365869803')
('ALULAV_clean.cif', '2.5051086475315643')
('ALULEZ_clean.cif', '2.7834589104898795')
('ALULID_clean.cif', '2.5673682532256716')
('ALURIJ_clean.cif', '2.1406215717974133')
('AMALND_clean.cif', '2.5906617996151544')
('AMIKOX_clean.cif', '2.6573005170550617')
('AMIWID_clean.cif', '2.596720203777915')
('AMIWOJ_clean.cif', '2.440907750732744')
('AMIWUP_clean.cif', '2.43293173944299')
('AMIXAW_clean.cif', '2.413776590377981')
('AMIXEA_clean.cif', '2.407109375247129')
('AMIZIG_clean.cif', '2.4294354982365918')
('AMODUC_clean.cif', '2.518613018731531')
('AMOFAK_clean.cif', '5.993850705540591')
('AMOZAE_clean.cif', '2.72636068834224')
('AMUWIP_charged.cif', '3.377578736515243')
('ANAWIX_clean.cif', '2.163203336471611')
('ANAWOD_clean.cif', '2.1652455297534803')
('ANENEN_clean.cif', '2.435066690390223')
('ANENIR_clean.cif', '2.4212973317305257')
('APARAM_clean.cif', '2.2641470112446824')
('APAYIB_clean.cif', '2.3874061801068547')
('APAYOH_clean.cif', '2.383982781901197')
('APAYUN_clean.cif', '2.604514957667279')
('APAZAU_clean.cif', '2.535193571990682')
('APAZEY_clean.cif', '2.3780995067850057')
('APAZIC_clean.cif', '2.5907297251430212')
('APAZOI_clean.cif', '2.5873156672879936')
('APEBED_clean.cif', '1.9768777949021765')
('APEBEE_clean.cif', '2.3922294453784567')
('APEBUU_clean.cif', '2.433430638975158')
('AQALIO_clean.cif', '2.690288495690129')
('AQALOU_clean.cif', '2.6835238491529436')
('AQEFOS_clean.cif', '2.1513696179389767')
('AQEGUY_clean.cif', '2.7931685430884627')
('AQETIA_clean.cif', '2.3365969690816555')
('AQETUM_clean.cif', '2.281080336339594')
('AQIQIC_clean.cif', '2.1775611404206936')
('AQIXUV_clean.cif', '2.2565597191071154')
('AQMAND_clean.cif', '2.639280539113067')
('AQMAND01_clean.cif', '2.6366162257422436')
('AQODOA_clean.cif', '2.4365792144200444')
('AQOLEZ_clean.cif', '2.4796329406973197')
('AQOLID_clean.cif', '2.4433681640625')
('AQOLOJ_clean.cif', '2.4952604566619794')
('AQOLUP_clean.cif', '2.443763671875')
('AQOMAW_clean.cif', '2.4987110403263513')
('AQOMEA_clean.cif', '2.6511187499999997')
('AQOMEA01_clean.cif', '2.63066484375')
('AQOTIK_clean.cif', '2.012284041162142')
('AQUCOG_clean.cif', '2.0671679770400626')
('AQUCUM_clean.cif', '2.066893351136565')
('AQUDIB_clean.cif', '2.070084574799171')
('ARAGOR_clean.cif', '2.414980762337736')
('ARAHIM_clean.cif', '2.1625659373489707')
('ARAHIM01_clean.cif', '2.150906961866985')
('ARAHIM02_clean.cif', '2.1627834555482615')
('ARUJED_clean.cif', '2.329077151136297')
('ARUYES_clean.cif', '2.378872014314883')
('ASAHEJ_clean.cif', '2.5014111388583444')
('ASAJOU_clean.cif', '2.2297200721256516')
('ASAMUE_clean.cif', '2.580837266695767')
('ASECUY_clean.cif', '2.497974470473966')
('ASIRUR_clean.cif', '2.28291692354479')
('ASOHUL_clean.cif', '2.102018563270085')
('ASOSUY_clean.cif', '2.0125219932679452')
('ASOVEL_clean.cif', '2.334280231880241')
('ASUBIB_clean.cif', '2.4113291089270543')
('ATAYAX_clean.cif', '2.104605328756173')
('ATAYEB_clean.cif', '1.9713270750548921')
('ATEJOA_clean.cif', '2.4036009428335343')
('ATEYOP_clean.cif', '2.312619458966526')
('ATEYUV_clean.cif', '2.317644686834158')
('ATEZAC_clean.cif', '2.3276425387344126')
('ATEZEG_clean.cif', '2.3132748166659036')
('ATEZIK_clean.cif', '2.32789232656645')
('ATIBAG_clean.cif', '2.317713041572103')
('ATIBIO_clean.cif', '2.191100331111606')
('ATIBOU_clean.cif', '2.3104462281666978')
('ATIBOU01_clean.cif', '2.1985147601333113')
('ATIBOU02_clean.cif', '2.2039093728638157')
('ATIBUA_clean.cif', '2.318206269609529')
('ATICAH_clean.cif', '2.213177383467832')
('ATICEL_clean.cif', '2.1972963056155184')
('ATIRUS_clean.cif', '2.6271031002278544')
('ATIXAE_clean.cif', '2.5406679271537547')
('ATUXIY_clean.cif', '2.3971808724364623')
('ATUXOE_clean.cif', '2.805924142826331')
('ATUXUK_clean.cif', '2.7361749189893754')
('ATUYAR_clean.cif', '2.7267573439341515')
('AVALEO_clean.cif', '2.0985718464779803')
('AVELUJ_clean.cif', '2.4551054892229294')
('AVEMAQ_clean.cif', '2.295904893653961')
('AVESAW_clean.cif', '2.814036225141403')
('AVETOM_clean.cif', '2.092195012835159')
('AVIHIY_clean.cif', '2.374055274298467')
('AVIHOE_clean.cif', '2.358875018784774')
('AVILEY_clean.cif', '2.4716304025837585')
('AVIMUO_clean.cif', '2.1516314203313227')
('AVIPAX_clean.cif', '2.2048745222571946')
('AVIPOL_clean.cif', '2.075988527782042')
('AVITUU_clean.cif', '2.0795428313593165')
('AVIVAC_clean.cif', '2.435822165418714')
('AVIVEG_clean.cif', '2.442257284297086')
