Name_MOF_CoRE_1272,PLD_angstrom,LCD_angstrom,unit_cell_volume_angstrom3,void_fraction,,Henry's constant: mol/(m^3 Pa),,D0 in a: m^2/s,D0 in b: m^2/s,D0 in c: m^2/s
00958972.2016.1250260_1436516_clean,2.9084,4.2379,878.884,0.50148,,0.129183275,,0,0,1.59E-08
00958972.2016.1250260_1436519_clean,3.01851,4.75811,3013.26,0.44016,,1.206326734,,2.33E-08,0,0
00958972.2016.1253069_1472494_clean,5.94796,7.25926,7526.47,0.50192,,0.079593657,,2.20E-08,1.68E-07,1.02E-275
1499489-acs.cgd.6b01265_1499490_clean,3.74266,10.90768,13957.7,0.61834,,1.156962556,,0,0,1.11E-08
ABAVIJ_clean,2.22124,3.73172,1320.38,0.35524,,18.13590466,,1.69E-49,0,0
ABAYIO_clean,4.26809,11.38025,19186.4,0.66416,,0.677321073,,3.15E-16,9.25E-17,1.19E-16
ABAYOU_clean,4.45641,11.24316,18921,0.6613,,0.709179069,,7.42E-17,1.02E-16,2.30E-16
ABEFUL_clean,2.84167,4.54117,2329.31,0.38094,,7.482711697,,0,2.79E-82,1.17E-09
ABESUX_clean,4.34903,6.05743,2786.16,0.59234,,0.161602633,,0,3.88E-08,1.13E-07
ABETAE_clean,4.34463,5.95478,2819.02,0.59744,,0.152847465,,0,4.44E-08,1.07E-07
ABETIN_clean,7.53527,9.8337,20019,0.70974,,0.140700046,,5.70E-09,0,9.42E-09
ABEXEM_clean,3.88929,4.68657,2633.04,0.47846,,0.552004178,,0,1.09E-07,0
ABEXEN_clean,13.71178,18.50726,15518,0.73802,,0.894811955,,0,2.39E-09,7.90E-10
ABEXIQ_clean,3.81711,4.63927,2602.59,0.47726,,0.58472785,,0,5.27E-08,0
ABEXOW_clean,3.76482,4.6121,2572.73,0.4744,,0.581124993,,0,1.13E-07,0
ABEXUC_clean,3.73667,4.5842,2546.99,0.46842,,0.625348897,,1.94E-38,7.51E-08,0
ABEYAJ_clean,3.66498,4.56977,2511.78,0.45684,,0.609327802,,5.06E-43,1.15E-07,0
ABEYEN_clean,3.63062,4.55083,2493.02,0.4607,,0.623656752,,1.08E-44,1.16E-07,0
ABEYIR_clean,3.60703,4.53273,2477.63,0.46222,,0.63818362,,0,1.18E-07,0
ABIXOZ_clean,4.92275,6.73052,2085.14,0.60508,,0.03369416,,1.12E-07,9.72E-08,9.53E-08
ABIYIV_clean,3.3238,3.9874,4703.28,0.40792,,0.787909196,,0,0,0
ABULOB_clean,3.75529,4.42761,1746.89,0.526,,2.801134553,,1.13E-17,1.68E-17,1.14E-07
ABUWOJ_clean,3.8151,4.56477,4518.16,0.59864,,0.86504614,,1.00E-07,0,1.33E-07
ac403674p_si_001_clean,8.01214,8.22886,3258.86,0.54492,,0.087743268,,2.08E-08,0,0
ACAJIY_clean,2.93045,4.70384,5518.65,0.48404,,2.096285024,,0,4.52E-09,7.52E-36
ACAJIZ_clean,5.34931,5.79536,2916.84,0.43344,,0.344351023,,0,0,1.01E-08
ACAJOF_clean,5.71368,6.47285,3191.38,0.46286,,0.306603694,,2.63E-08,0,0
ACAKUM_clean,3.02401,4.25772,2226.95,0.42106,,0.365114294,,0,1.76E-63,0
ACALIB_clean,2.20574,3.64164,2087.56,0.38976,,0.425304639,,1.47E-21,3.78E-25,0
ACECIV_ion_b,2.61756,4.14156,3235.4,0.30378,,4.397082774,,0,0,0
ACIBIY_clean,3.46998,4.90761,5132.21,0.45626,,0.269392342,,0,0,0
ACIBOE_clean,6.97409,8.06181,3779.19,0.63202,,0.170701625,,1.21E-10,4.27E-08,4.44E-08
ACMPCD_SL,3.58271,4.82979,1659.98,0.3759,,0.119312921,,0,0,0
ACOCOM_clean,12.64317,24.71985,101117,0.85702,,0.038424882,,0,9.29E-08,1.19E-07
ACOCUS_clean,12.83108,24.71401,102543,0.85956,,0.037970159,,8.91E-08,8.83E-08,8.81E-08
ACODAZ_clean,12.72532,24.69427,102044,0.85884,,0.036863866,,6.36E-09,6.46E-09,6.30E-09
ACODON_clean,4.15008,6.97234,3402.63,0.57774,,0.616877563,,4.28E-08,1.25E-08,6.93E-14
ACODUT_clean,2.98754,4.67968,2328.35,0.41348,,21.75836924,,1.13E-10,1.03E-10,1.59E-17
ACOGAB_clean,3.50213,4.44487,2660.54,0.51864,,1.428281826,,8.88E-08,2.40E-16,8.02E-08
ACOGEF_clean,3.55775,4.44132,2686.72,0.51344,,1.526810341,,6.89E-08,4.64E-42,5.10E-08
ACOLEL_clean,2.39104,3.49428,5939.98,0.31946,,0.563908515,,0,0,1.93E-27
ACOLIP_clean,3.16973,4.73751,1527.86,0.50832,,3.041056648,,4.55E-09,1.05E-08,0
ACOLOV_clean,5.12854,7.95829,10047.8,0.66182,,0.169274695,,4.29E-08,0,1.64E-08
acsami.6b11116_am6b11116_si_002_clean,7.23996,10.60278,9225.87,0.7447,,0.256357909,,0,0,0
acs.cgd.5b00681_AJUPEC1449470_clean,3.07805,4.26692,1839.35,0.45612,,3.07824755,,3.13E-11,7.43E-48,0
acs.cgd.5b01178_MAHFOT1419063_clean,3.20951,5.54939,2246.78,0.57548,,1.296545014,,0,1.06E-08,1.15E-63
acs.cgd.5b01178_MAHFUZ1419064_clean,2.70203,4.05216,1796.2,0.4706,,5.912083646,,0,3.91E-16,0
acs.cgd.5b01554_VAGNUP1452791_clean,4.6843,5.82449,7648.6,0.55728,,0.190082278,,4.91E-08,8.57E-08,4.25E-92
acs.cgd.5b01554_VAHLEY1433683_clean,2.97819,4.41196,8666.89,0.4063,,134.8260519,,0,0,1.45E-16
acs.cgd.5b01632_ZAHKOL1438120_clean,4.02045,5.35742,5889.08,0.63612,,5.515087851,,1.90E-08,7.61E-08,5.15E-09
acs.cgd.5b01684_CUTGIJ1438510_clean,4.34295,5.68506,3757.65,0.67864,,0.375803846,,4.30E-08,5.48E-08,0
acs.cgd.5b01686_WAHFUJ1434675_clean,3.56433,4.6621,2362.18,0.44444,,1.204668552,,0,3.24E-08,0
acs.cgd.5b01835_ULIMUZ1444615_clean,3.24159,4.55272,972.242,0.37694,,3.697769226,,1.01E-08,3.16E-198,0
acs.cgd.6b00038_ILUSOZ1440258_clean,3.34188,4.77376,1005.8,0.64652,,0.226585006,,2.14E-08,3.86E-08,1.87E-10
acs.cgd.6b00119_OLISUZ1440339_clean,4.57697,9.13782,8502.29,0.70564,,0.048221433,,0,9.25E-08,1.72E-08
acs.cgd.6b00151_AKECEA1449783_clean,3.56264,4.5252,3707.68,0.51812,,0.677469449,,0,4.34E-09,1.12E-07
acs.cgd.6b00151_AKECIE1449784_clean,3.45526,5.00688,7967.98,0.55326,,0.339723702,,0,0,7.56E-08
acs.cgd.6b00151_AKECOK1449785_clean,1.75279,4.22682,1432.68,0.38806,,8.684799002,,1.26E-18,0,0
acs.cgd.6b00151_AKECUQ1449786_clean,4.65302,5.55674,4232.38,0.5819,,0.447837447,,0,8.39E-74,7.80E-08
acs.cgd.6b00151_AKEDAX1449787_clean,3.25384,4.25578,1668.48,0.49712,,2.173779124,,0,0,0
acs.cgd.6b00151_AKEDEB1449788_clean,2.84669,5.73031,4638.24,0.46584,,1.022087497,,0,3.68E-34,2.71E-11
acs.cgd.6b00163_UKEBAP1448505_clean,7.0862,7.79144,2646.11,0.6627,,0.029649695,,2.90E-09,0,1.80E-08
acs.cgd.6b00163_UKEBET1448506_clean,4.1715,5.84678,13576.2,0.48836,,0.805218947,,5.01E-28,2.50E-116,7.59E-25
acs.cgd.6b00163_UKEBOD1448508_clean,2.08109,3.88938,5146.41,0.3612,,16.90151492,,0,0,9.97E-33
acs.cgd.6b00429_1438789-1438792_clean,3.92155,5.54202,1891.2,0.6683,,1.044711806,,1.97E-08,2.14E-13,5.59E-08
acs.cgd.6b00463_OLOMUZ1451936_clean,7.59018,9.74256,31227.5,0.67246,,0.069438786,,0,7.21E-09,7.23E-09
acs.cgd.6b00488_ANAVUI1457968_clean,2.23304,3.71036,1219.19,0.37024,,3.809748671,,0,0,1.81E-183
acs.cgd.6b00506_OMECIU1457820_clean,1.89737,4.22201,2848.46,0.4157,,1.620404939,,0,0,1.56E-19
acs.cgd.6b01311_1481292-1481295_clean,6.04879,7.31091,2941.42,0.63106,,0.289017979,,3.17E-129,7.88E-09,9.29E-08
acs.chemmater.5b03723_cm5b03723_si_004_clean,6.94859,12.78496,24242,0.67256,,139.1673008,,0,0,0
acs.chemmater.5b03723_cm5b03723_si_005_clean,7.05796,13.83705,24454.9,0.72442,,0.573013959,,0,0,0
acs.chemmater.5b04306_cm5b04306_si_001_clean,5.52326,8.16859,5044.75,0.65846,,0.161553838,,8.39E-34,6.18E-08,1.21E-08
acs.chemmater.6b02817_cm6b02817_si_004_clean,5.4706,8.67405,10579,0.6672,,0.197570718,,1.47E-15,1.26E-07,1.01E-07
acs.chemrev.6b00346_cr6b00346_si_001_clean,3.76523,9.16819,6380.42,0.68848,,0.129158789,,5.88E-08,7.42E-08,7.41E-08
acscombsci.5b00188_24205_clean,4.54441,5.27277,676.175,0.54762,,1.556180453,,0,3.36E-27,7.04E-08
acscombsci.5b00188_3001288_clean,23.20923,29.0886,26606.7,0.93552,,0.005283373,,0,1.62E-07,5.06E-08
acscombsci.5b00188_34903_clean,5.69905,6.08015,1031.67,0.5411,,7.707095271,,3.63E-08,7.48E-08,0
acscombsci.5b00188_5013797_clean,6.32072,9.35658,3673.03,0.7026,,0.143936567,,2.78E-08,9.39E-09,2.01E-08
acscombsci.5b00188_5020072_clean,11.71114,14.13671,4639.58,0.82454,,0.023454282,,1.45E-10,1.75E-08,2.55E-08
acscombsci.5b00188_5024922_clean,15.5067,19.70734,7690.98,0.88396,,0.013308241,,1.71E-08,1.34E-08,1.10E-08
acscombsci.5b00188_5036495_clean,8.31912,10.63692,3529.75,0.84486,,0.015799862,,1.35E-07,3.01E-08,2.42E-08
acscombsci.5b00188_5040209_clean,5.29543,7.36544,1455.67,0.60184,,1.089262427,,1.58E-09,7.68E-10,2.30E-21
acscombsci.5b00188_8372_clean,4.2915,5.47865,1430.06,0.69996,,0.074542391,,3.83E-08,3.87E-08,6.07E-08
acs.inorgchem.5b02108_ic5b02108_si_002_clean,7.01568,7.12852,2742.16,0.56884,,1.719476031,,0,0,1.45E-08
acs.inorgchem.5b02242_ic5b02242_si_002_clean,4.297,6.65551,1504.87,0.58804,,0.190573248,,3.37E-08,0,0
acs.inorgchem.5b02316_ic5b02316_si_002_clean,5.47037,10.07243,3907.1,0.6238,,2851.099616,,8.75E-11,8.51E-11,1.95E-08
acs.inorgchem.5b02378_ic5b02378_si_002_clean,3.37832,3.67375,4171.81,0.34012,,133.7946773,,2.46E-08,0,4.43E-43
acs.inorgchem.5b02434_ic5b02434_si_002_clean,2.84301,3.98694,1570.29,0.47618,,2.473506852,,0,0,1.21E-09
acs.inorgchem.5b02434_ic5b02434_si_004_clean,3.939,5.86183,5330.48,0.65828,,0.198716826,,1.96E-109,4.99E-11,4.77E-08
acs.inorgchem.5b02434_ic5b02434_si_007_clean,3.8511,5.47125,5210.69,0.62064,,0.283286668,,2.39E-08,3.99E-22,2.75E-09
acs.inorgchem.5b02434_ic5b02434_si_009_clean,3.52605,4.48525,661.011,0.60918,,0.405445642,,0,5.80E-51,9.93E-08
acs.inorgchem.5b02434_ic5b02434_si_010_clean,3.55989,5.00051,1463.08,0.71372,,0.072250366,,1.87E-10,7.51E-09,6.61E-08
acs.inorgchem.5b02434_ic5b02434_si_011_clean,2.86797,3.90621,1544.7,0.47464,,4.274305123,,0,0,7.75E-09
acs.inorgchem.5b02434_ic5b02434_si_013_clean,2.39635,5.16843,6411.72,0.48756,,0.964496795,,1.55E-21,3.01E-21,0
acs.inorgchem.5b02464_ic5b02464_si_002_clean,3.57279,5.24908,12157.9,0.58302,,1.590571,,0,1.88E-08,8.29E-09
acs.inorgchem.5b02666_ic5b02666_si_002_clean,2.54863,4.25062,3312.18,0.42554,,7.459632994,,0,0,5.83E-13
acs.inorgchem.5b02786_ic5b02786_si_002_clean,2.99871,5.07183,7404.49,0.52464,,0.38123975,,2.01E-14,3.43E-11,0
acs.inorgchem.5b02973_ic5b02973_si_002_clean,10.37129,11.32864,3140.71,0.5472,,15.60738847,,0,0,1.67E-08
acs.inorgchem.6b00001_ic6b00001_si_002_clean,3.48568,6.2938,5985.76,0.43798,,26.6728459,,0,0,3.33E-08
acs.inorgchem.6b00001_ic6b00001_si_003_clean,1.85037,3.4746,2093.12,0.39,,0.419059047,,0,8.49E-18,0
acs.inorgchem.6b00001_ic6b00001_si_004_clean,3.23016,3.97484,2881.7,0.44486,,0.599895055,,0,1.18E-269,1.70E-08
acs.inorgchem.6b00044_ic6b00044_si_002_clean,6.51204,9.08349,7868.29,0.63698,,0.071123306,,0,5.75E-10,1.09E-08
acs.inorgchem.6b00081_ic6b00081_si_001_clean,5.41385,6.89139,12940.8,0.4619,,0.347017147,,0,0,2.09E-08
acs.inorgchem.6b00105_ic6b00105_si_001_clean,2.85479,3.42733,876.125,0.52972,,0.848392285,,0,1.73E-09,3.45E-11
acs.inorgchem.6b00105_ic6b00105_si_002_clean,2.86068,3.64219,878.093,0.5299,,0.78544655,,0,9.00E-11,4.16E-11
acs.inorgchem.6b00136_ic6b00136_si_002_clean,6.81785,7.08657,4410.77,0.54904,,6.280569088,,0,6.01E-15,1.59E-08
acs.inorgchem.6b00158_ic6b00158_si_002_clean,8.56969,9.76457,6756.24,0.67938,,0.025125426,,3.32E-08,4.36E-08,6.80E-08
acs.inorgchem.6b00186_ic6b00186_si_001_clean,4.16123,5.28141,3485.22,0.62446,,0.162737185,,0,1.11E-07,5.60E-08
acs.inorgchem.6b00186_ic6b00186_si_003_clean,2.71993,3.46757,3198.71,0.36474,,0.079528507,,0,0,0
acs.inorgchem.6b00276_ic6b00276_si_001_clean,2.64297,8.34175,7538.67,0.54374,,1.366162228,,0,0,0
acs.inorgchem.6b00276_ic6b00276_si_002_clean,7.15119,7.51717,4881.37,0.51354,,1.266401296,,0,0,1.20E-08
acs.inorgchem.6b00276_ic6b00276_si_003_clean,3.04989,4.79887,2402.68,0.47984,,17.95480315,,0,2.60E-14,3.53E-10
acs.inorgchem.6b00276_ic6b00276_si_006_clean,8.32185,13.73345,54783.4,0.69364,,2.842567047,,0,0,0
